import time: self [us] | cumulative | imported package
import time:       130 |        130 |   _io
import time:        23 |         23 |   marshal
import time:       163 |        163 |   posix
import time:       339 |        653 | _frozen_importlib_external
import time:       351 |        351 |   time
import time:       121 |        472 | zipimport
import time:        23 |         23 |     _codecs
import time:       275 |        297 |   codecs
import time:       256 |        256 |   encodings.aliases
import time:       293 |        846 | encodings
import time:        94 |         94 | encodings.utf_8
import time:        35 |         35 | _signal
import time:        15 |         15 |     _abc
import time:        81 |         95 |   abc
import time:        79 |        174 | io
import time:        21 |         21 |       _stat
import time:        43 |         63 |     stat
import time:       414 |        414 |     _collections_abc
import time:        21 |         21 |       errno
import time:        30 |         30 |       genericpath
import time:        67 |        118 |     posixpath
import time:       241 |        835 |   os
import time:        41 |         41 |   _sitebuiltins
import time:        60 |         60 |             itertools
import time:        68 |         68 |             keyword
import time:        32 |         32 |               _operator
import time:       134 |        165 |             operator
import time:        85 |         85 |             reprlib
import time:        28 |         28 |             _collections
import time:       350 |        754 |           collections
import time:        24 |         24 |           _functools
import time:       296 |       1073 |         functools
import time:       123 |        123 |         types
import time:       831 |       2026 |       enum
import time:        32 |         32 |         _sre
import time:       137 |        137 |           re._constants
import time:       206 |        342 |         re._parser
import time:        74 |         74 |         re._casefix
import time:       201 |        648 |       re._compiler
import time:        88 |         88 |       copyreg
import time:       258 |       3019 |     re
import time:       356 |       3375 |   sitecustomize
import time:       373 |       4622 | site
import time:       150 |        150 | linecache
import time:        20 |         20 | faulthandler
import time:       373 |        373 |       importlib
import time:       176 |        176 |         warnings
import time:       263 |        263 |         numpy.version
import time:       200 |        200 |         numpy._expired_attrs_2_0
import time:       306 |        306 |             numpy._utils._convertions
import time:       343 |        649 |           numpy._utils
import time:       274 |        922 |         numpy._globals
import time:        16 |         16 |           numpy._distributor_init_local
import time:       208 |        223 |         numpy._distributor_init
import time:      1111 |       1111 |                     _datetime
import time:       467 |       1578 |                   datetime
import time:       473 |        473 |                   math
import time:       350 |        350 |                   numpy.exceptions
import time:       266 |        266 |                   numpy._core._exceptions
import time:       850 |        850 |                       _contextvars
import time:       324 |       1174 |                     contextvars
import time:       409 |       1583 |                   numpy._core.printoptions
import time:       173 |        173 |                   numpy.dtypes
import time:      6604 |      11024 |                 numpy._core._multiarray_umath
import time:       188 |        188 |                   numpy._utils._inspect
import time:       332 |        519 |                 numpy._core.overrides
import time:       915 |      12457 |               numpy._core.multiarray
import time:       237 |        237 |               numpy._core.umath
import time:       346 |        346 |                 numbers
import time:       326 |        326 |                 numpy._core._dtype
import time:       192 |        192 |                 numpy._core._string_helpers
import time:       279 |        279 |                 numpy._core._type_aliases
import time:       288 |       1430 |               numpy._core.numerictypes
import time:       209 |        209 |                 numpy._core._ufunc_config
import time:       933 |        933 |                         _struct
import time:       195 |       1127 |                       struct
import time:       324 |        324 |                       _compat_pickle
import time:      1395 |       1395 |                       _pickle
import time:       637 |       3481 |                     pickle
import time:       460 |        460 |                     contextlib
import time:       274 |       4214 |                   numpy._core._methods
import time:       556 |       4770 |                 numpy._core.fromnumeric
import time:       367 |       5345 |               numpy._core._machar
import time:       322 |        322 |                   numpy._core.shape_base
import time:       232 |        232 |                   numpy._core._asarray
import time:       453 |        453 |                   numpy._core.arrayprint
import time:       538 |       1543 |                 numpy._core.numeric
import time:       375 |       1917 |               numpy._core.einsumfunc
import time:       367 |        367 |               numpy._core.function_base
import time:       376 |        376 |               numpy._core.getlimits
import time:       221 |        221 |               numpy._core.memmap
import time:       417 |        417 |               numpy._core.records
import time:       750 |        750 |               numpy._core._add_newdocs
import time:       692 |        692 |               numpy._core._add_newdocs_scalars
import time:       234 |        234 |               numpy._core._dtype_ctypes
import time:       929 |        929 |                   _ast
import time:      1330 |       2258 |                 ast
import time:      1016 |       1016 |                   _ctypes
import time:       291 |        291 |                   ctypes._endian
import time:       797 |       2103 |                 ctypes
import time:       584 |       4944 |               numpy._core._internal
import time:       254 |        254 |               numpy._pytesttester
import time:       522 |      30158 |             numpy._core
import time:        13 |      30170 |           numpy._core._multiarray_umath
import time:       301 |      30471 |         numpy.__config__
import time:        20 |         20 |                         _typing
import time:      1412 |       1432 |                       typing
import time:       361 |        361 |                           numpy._typing._nbit_base
import time:       192 |        192 |                           numpy._typing._nested_sequence
import time:       164 |        164 |                           numpy._typing._shape
import time:      1206 |       1922 |                         numpy._typing._array_like
import time:      2271 |       2271 |                         numpy._typing._char_codes
import time:      1227 |       1227 |                         numpy._typing._dtype_like
